symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
4755.T,0.1636187449044112,fundamental,0.0,0.0,10,0,True
9501.T,0.1364019646225009,fundamental,0.0,0.0,10,0,True
7201.T,0.0867199253032846,fundamental,0.0,0.0,10,0,True
9434.T,0.0415508112819221,fundamental,0.0,0.0,10,0,True
9432.T,0.0299802031967314,fundamental,0.0,0.0,10,0,True
5411.T,0.0,fundamental,0.0,0.0,10,0,True
7751.T,0.0,fundamental,0.0,0.0,10,0,True
7733.T,0.0,fundamental,0.0,0.0,10,0,True
5020.T,0.0,fundamental,0.0,0.0,10,0,True
9202.T,0.0,fundamental,0.0,0.0,10,0,True
6988.T,0.0,fundamental,0.0,0.0,10,0,True
2503.T,0.0,fundamental,0.0,0.0,10,0,True
8830.T,0.0,fundamental,0.0,0.0,10,0,True
7832.T,0.0,fundamental,0.0,0.0,10,0,True
6506.T,0.0,fundamental,0.0,0.0,10,0,True
9020.T,0.0,fundamental,0.0,0.0,10,0,True
3659.T,0.0,fundamental,0.0,0.0,10,0,True
8697.T,0.0,fundamental,0.0,0.0,10,0,True
6326.T,0.0,fundamental,0.0,0.0,10,0,True
9503.T,0.0,fundamental,0.0,0.0,10,0,True
2502.T,0.0,fundamental,0.0,0.0,10,0,True
9502.T,0.0,fundamental,0.0,0.0,10,0,True
5401.T,0.0,fundamental,0.0,0.0,10,0,True
6723.T,0.0,fundamental,0.0,0.0,10,0,True
9201.T,0.0,fundamental,0.0,0.0,10,0,True
8306.T,0.0,fundamental,0.0,0.0,10,0,True
7011.T,0.0,fundamental,0.0,0.0,10,0,True
3382.T,0.0,fundamental,0.0,0.0,10,0,True
6758.T,0.0,fundamental,0.0,0.0,10,0,True
7203.T,0.0,fundamental,0.0,0.0,10,0,True
6501.T,0.0,fundamental,0.0,0.0,10,0,True
1605.T,0.0,fundamental,0.0,0.0,10,0,True
7267.T,0.0,fundamental,0.0,0.0,10,0,True
6702.T,0.0,fundamental,0.0,0.0,10,0,True
8001.T,0.0,fundamental,0.0,0.0,10,0,True
4568.T,0.0,fundamental,0.0,0.0,10,0,True
9433.T,0.0,fundamental,0.0,0.0,10,0,True
9107.T,0.0,fundamental,0.0,0.0,10,0,True
6752.T,0.0,fundamental,0.0,0.0,10,0,True
8591.T,0.0,fundamental,0.0,0.0,10,0,True
7269.T,0.0,fundamental,0.0,0.0,10,0,True
4901.T,0.0,fundamental,0.0,0.0,10,0,True
8725.T,0.0,fundamental,0.0,0.0,10,0,True
8801.T,0.0,fundamental,0.0,0.0,10,0,True
4503.T,0.0,fundamental,0.0,0.0,10,0,True
8802.T,0.0,fundamental,0.0,0.0,10,0,True
8604.T,0.0,fundamental,0.0,0.0,10,0,True
