family,factor_name,tier,ic_mean,t_stat,guard,n_observations,production_eligible,promotion_eligible,demotion_risk,recommended_action,exclusion_reason
fundamental,accruals_inv,fundamental_pending,0.0,0.0,,0,False,False,False,exclude_from_production,insufficient_observations_and_guard_fail
fundamental,cfo_assets,fundamental_pending,0.0,0.0,,0,False,False,False,exclude_from_production,insufficient_observations_and_guard_fail
fundamental,dividend_yield,candidate,0.0,0.0,,0,False,False,False,exclude_from_production,insufficient_observations_and_guard_fail
fundamental,growth_op_yoy,candidate,0.0,0.0,,0,False,False,False,exclude_from_production,insufficient_observations_and_guard_fail
fundamental,growth_rev_yoy,candidate,0.0,0.0,,0,False,False,False,exclude_from_production,insufficient_observations_and_guard_fail
fundamental,guidance_delta,candidate,0.0,0.0,,0,False,False,False,exclude_from_production,insufficient_observations_and_guard_fail
fundamental,leverage_safety,fundamental_pending,0.0,0.0,,0,False,False,False,exclude_from_production,insufficient_observations_and_guard_fail
fundamental,margin_op,fundamental_pending,0.0,0.0,,0,False,False,False,exclude_from_production,insufficient_observations_and_guard_fail
fundamental,roa_op,fundamental_pending,0.0,0.0,,0,False,False,False,exclude_from_production,insufficient_observations_and_guard_fail
fundamental,value_bp,candidate,0.0,0.0,,0,False,False,False,exclude_from_production,insufficient_observations_and_guard_fail
risk_adjusted,sharpe_20,candidate,0.06079771174320672,0.565615,FAIL,2,False,False,False,exclude_from_production,insufficient_observations_and_guard_fail
risk_adjusted,sharpe_60,core,0.07696043087839172,2.153634,PASS,170,True,False,False,keep,eligible
risk_adjusted,sortino_60,candidate,0.04521072796934866,1.594585,PASS,2,False,False,False,exclude_from_production,insufficient_observations
risk_adjusted,vol_stability,candidate,0.1947578438123488,0.046165,FAIL,2,False,False,False,exclude_from_production,insufficient_observations_and_guard_fail
technical,ma_gap,core,0.01691387094555624,1.367911,FAIL,50,False,False,False,exclude_from_production,insufficient_observations_and_guard_fail
technical,mom_consist,core,0.010054339594129958,2.058778,PASS,218,True,False,False,keep,eligible
technical,ret20,excluded,0.030052345788930374,0.620537,FAIL,50,False,False,False,exclude_from_production,insufficient_observations_and_guard_fail
technical,rsi14,excluded,0.02694153013332967,0.604236,FAIL,50,False,False,False,exclude_from_production,insufficient_observations_and_guard_fail
technical,slope60,excluded,0.017675099531606245,1.051152,FAIL,50,False,False,False,exclude_from_production,insufficient_observations_and_guard_fail
technical,vol_adj_mom20,excluded,0.03311356044042312,0.544001,FAIL,50,False,False,False,exclude_from_production,insufficient_observations_and_guard_fail
